City,State,CBSA code,percent change GDP,natural resources/mining,construction,durable-goods manufacturing,nondurable-goods manufacturing,trade,transportation/utilities,information,finance/insurance/real estate/rental/leasing,professional/business services,education/health care/social assistance,arts/entertainment/recreation/accommodation/food services,other services except government,government,,*NOTE: (D) is hidden to protect confidential information
Greenville-Anderson-Mauldin,SC,24860,1.4,0.01,-0.22,0.69,-0.01,0.25,-0.24,-0.01,0.77,-0.02,-0.23,0.01,0.29,0.15,,
Gulfport-Biloxi-Pascagoula,MS,25060,4,0,1.52,(D),(D),0.25,-0.28,0.09,1.08,-0.11,0.18,0.24,0.05,-0.65,,
Hagerstown-Martinsburg,MD-WV,25180,-0.1,(D),(D),-0.22,-0.91,0.18,0.14,0.02,0.43,0.28,0.23,-0.05,0,-0.19,,
Hammond,LA,25220,2,-0.2,-1.29,-0.33,2.65,0.36,0.16,0.12,-0.14,-0.24,0.98,0.04,0.56,-0.67,,
Hanford-Corcoran,CA,25260,3.8,3.91,0.06,(D),(D),0.35,0.35,0.06,-0.62,-0.02,0.09,0.04,-0.42,-0.7,,
Harrisburg-Carlisle,PA,25420,1.3,0.14,0.02,0.06,-0.49,-0.13,0.15,0.08,0.07,1.09,0.34,0.04,-0.04,0.02,,
Harrisonburg,VA,25500,0,0.49,-0.14,-0.14,-0.11,0.01,-0.15,0.03,0.04,-0.07,0,-0.05,-0.05,0.09,,
Hartford-West Hartford-East Hartford,CT,25540,1.1,(D),0.13,(D),(D),(D),0.13,0.13,0.17,0.31,0.19,0.03,-0.01,-0.02,,
Hattiesburg,MS,25620,1,-0.23,0.08,-0.03,-0.09,0.47,0.62,0.04,0.07,-0.11,0.05,0.2,0.12,-0.21,,
Hickory-Lenoir-Morganton,NC,25860,0.8,(D),0.14,0.77,-0.27,0.44,0.21,0,-0.82,-0.03,(D),0.02,-0.01,0.01,,
Hilton Head Island-Bluffton-Beaufort,SC,25940,0.5,-0.16,0.39,-0.1,0.02,0.51,0.04,0.05,0.46,-0.15,-0.15,0.15,-0.14,-0.4,,
Hinesville,GA,25980,-4.2,(D),-0.02,0,0.35,-0.05,0.45,(D),-0.16,-0.12,0.1,-0.05,-0.57,-4.12,,
Homosassa Springs,FL,26100,-0.5,0.04,-0.58,(D),(D),0.5,0.42,-0.09,0.52,-1.61,0.21,0.4,-0.18,-0.07,,
Hot Springs,AR,26300,2,0.39,-0.09,0.4,1.02,0.13,-0.03,0.06,0.33,-0.16,0.17,-0.07,-0.04,-0.16,,
Houma-Thibodaux,LA,26380,6.8,1.37,0.02,-0.05,1.13,0.35,2.33,0.04,0.51,1.11,-0.12,0.25,0.05,-0.25,,
Houston-The Woodlands-Sugar Land,TX,26420,5.2,(D),0.27,(D),(D),(D),(D),-0.02,0.22,0.63,0.22,0.08,-0.02,0.02,,
Huntington-Ashland,WV-KY-OH,26580,4.2,1.87,-0.32,(D),(D),(D),(D),-0.12,1.43,(D),-0.04,(D),-0.09,-0.13,,
Huntsville,AL,26620,0.6,0.17,0,0.54,0,0.31,0.04,-0.04,0.26,-0.01,0.21,-0.01,-0.06,-0.79,,
Idaho Falls,ID,26820,1.6,(D),-0.17,-0.02,0.42,0.36,(D),-0.1,-0.51,-0.08,0.33,0.11,-0.03,0,,
Indianapolis-Carmel-Anderson,IN,26900,3.4,0.02,(D),(D),(D),(D),(D),0.13,0.35,0.57,0.25,0.07,0.01,-0.15,,
Iowa City,IA,26980,2.3,0.61,0.08,-0.04,0.18,0.33,-0.01,0.29,0.28,-0.11,0.35,0.01,0.04,0.25,,
Ithaca,NY,27060,0.1,0.38,0.04,0.23,0.2,0.02,0.34,0.09,0.41,0.17,-1.68,-0.01,0.01,-0.15,,
Jackson,MI,27100,4.1,0.08,-0.3,1.69,0.12,0.87,1.19,-0.01,0.82,-0.13,0.24,0.05,-0.17,-0.34,,
Jackson,MS,27140,0.4,-0.82,0.2,(D),(D),0.41,-0.05,0.15,-0.2,0.67,0,0.04,0.01,-0.18,,
Jackson,TN,27180,0.9,(D),-0.44,(D),(D),-0.16,(D),(D),-0.13,0.51,-0.17,-0.02,(D),-0.15,,
Jacksonville,FL,27260,1.5,(D),0.26,0.06,-0.06,0.34,(D),-0.05,0.37,0.13,0.3,0.35,-0.07,-0.3,,
Jacksonville,NC,27340,-2.5,0.12,-0.08,0.33,0.05,0.09,-0.03,0,0.04,-0.34,0.27,0.04,0.03,-3,,
Janesville-Beloit,WI,27500,6,0.53,0.68,-0.84,0.22,0.18,0.46,0.57,0.69,2.61,1.06,0.03,-0.04,-0.16,,
Jefferson City,MO,27620,3.1,(D),-0.14,(D),(D),(D),1.76,1.22,-0.41,0.09,-0.23,0.05,0.03,-0.02,,
Johnson  City,TN,27740,-2.1,(D),-0.1,-0.62,0,(D),-0.05,-0.08,0.6,-0.53,-0.28,0.24,-0.08,-0.3,,
Johnstown,PA,27780,-2,-0.85,-0.09,0.06,-0.31,-0.01,-0.23,-0.04,0.25,-0.64,0.18,-0.13,-0.17,0.02,,
Jonesboro,AR,27860,0.6,(D),-0.09,-0.2,0.28,0.6,0.16,0.03,0.08,(D),0.93,0.07,0.05,-0.13,,
Joplin,MO,27900,0.2,-0.2,0.11,0.21,0.5,(D),(D),-0.41,-0.23,0.08,0.19,-0.05,-0.06,-0.03,,
Kahului-Wailuku-Lahaina,HI,27980,-0.6,(D),-0.26,-0.03,0.03,-0.05,-0.05,0.01,-0.61,-0.14,(D),-0.1,-0.1,0.18,,
Kalamazoo-Portage,MI,28020,2.4,0.31,-0.03,0.84,0.04,0.38,-0.04,-0.19,0.72,0.15,0.55,0.06,-0.02,-0.34,,
Kankakee,IL,28100,2.3,0.35,0.07,0.74,1.28,0.1,0.15,0.2,-0.19,-0.32,0.06,-0.13,0.01,-0.03,,
Kansas City,MO-KS,28140,1.4,0.04,-0.02,(D),(D),(D),0.03,0.21,0.04,0.49,(D),0.14,0.02,-0.13,,
Kennewick-Richland,WA,28420,1.4,1.87,-0.04,-0.08,0.43,0.41,0.04,-0.03,0.48,-1.84,0.46,0.05,-0.31,-0.01,,
Killeen-Temple,TX,28660,-0.4,0.12,0.86,(D),(D),-0.04,-0.34,-0.23,-0.03,-0.15,0.71,0.03,-0.18,-1.46,,
Kingsport-Bristol-Bristol,TN-VA,28700,-1.2,(D),-0.34,(D),(D),(D),0.12,0.5,-0.2,-0.4,-0.08,-0.08,-0.06,-0.05,,
Kingston,NY,28740,0.6,0.14,-0.11,-0.03,-0.13,0.18,-0.04,-0.34,0.6,0.03,0.41,0.79,-0.59,-0.28,,
Knoxville,TN,28940,0.6,(D),0.04,(D),(D),(D),0.16,(D),(D),0.14,0.06,-0.01,-0.15,-0.16,,
Kokomo,IN,29020,3.3,-0.09,0.02,1.2,0.07,0.13,0.17,0,-0.32,0.27,1.94,0.06,-0.07,-0.13,,
La Crosse-Onalaska,WI-MN,29100,2.3,0.18,0.03,-0.08,0.48,0.96,-0.01,-0.06,0.23,0.26,0.41,-0.01,0.06,-0.14,,
Lafayette,LA,29140,-4.8,(D),-0.28,0.56,0.55,0.03,(D),0.04,0.02,0.37,-0.07,0.09,-0.02,-0.21,,
Lafayette-West Lafayette,IN,29180,-1.4,(D),0,-1.17,-0.71,0.15,-0.01,0.02,0.12,0.2,0.02,0,-0.04,-0.23,,
Lake Charles,LA,29340,7.9,-0.78,0.84,0.01,(D),-0.15,0.11,0.06,0.19,0.22,-0.25,0,-0.06,-0.23,,
