City,State,CBSA code,2001,2002,2003,2004,2005,2006,2007,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
Urban Honolulu,HI,26180,32311,34121,36561,40181,43423,45804,48308,50728,49410,51307,52053,52974,54011,-2.6,3.8,1.5,1.8,2,156
Utica-Rome,NY,46540,7115,7358,7588,8093,8444,8776,9025,9306,9334,9570,9504,9454,9517,0.3,2.5,-0.7,-0.5,0.7,241
Valdosta,GA,46660,3115,3063,3294,3400,3597,3791,3953,4357,4413,4308,4247,4276,4316,1.3,-2.4,-1.4,0.7,1,221
Vallejo-Fairfield,CA,46700,9809,10251,11430,12255,13489,14081,14701,15361,15311,14656,14021,14077,14618,-0.3,-4.3,-4.3,0.4,3.8,59
Victoria,TX,47020,2402,2478,2669,2894,3199,3692,3786,4026,3724,3977,4122,4579,4843,-7.5,6.8,3.6,11.1,5.8,25
Vineland-Bridgeton,NJ,47220,3734,3830,4083,4384,4667,4865,4985,5388,5300,5240,5131,5166,5136,-1.6,-1.1,-2.1,0.7,-0.6,320
Virginia Beach-Norfolk-Newport News,VA-NC,47260,53354,56660,60947,65136,69876,74273,78235,80849,80961,81322,81693,83014,83162,0.1,0.4,0.5,1.6,0.2,280
Visalia-Porterville,CA,47300,7617,7785,8527,9828,10475,10831,11790,11555,11407,11430,11789,11507,12126,-1.3,0.2,3.1,-2.4,5.4,28
Waco,TX,47380,5653,5853,6339,6820,7244,7647,7924,8401,8432,8928,8771,9090,9257,0.4,5.9,-1.8,3.6,1.8,166
Walla Walla,WA,47460,1594,1604,1737,1775,1819,1976,2143,2336,2346,2370,2311,2269,2303,0.4,1,-2.5,-1.8,1.5,187
Warner Robins,GA,47580,4099,4422,4685,4899,5248,5514,5778,6013,6143,6324,6392,6333,6282,2.2,2.9,1.1,-0.9,-0.8,326
Washington-Arlington-Alexandria,DC-VA-MD-WV,47900,271767,287955,306298,333872,358925,376534,395800,417693,417664,430784,438054,440687,437085,0,3.1,1.7,0.6,-0.8,330
Waterloo-Cedar Falls,IA,47940,5227,5638,5729,6543,6891,7050,7474,7954,7714,7811,7587,7861,8093,-3,1.3,-2.9,3.6,2.9,97
Watertown-Fort Drum,NY,48060,3443,3483,3629,3934,4472,5026,5245,5619,5853,6172,6345,6237,6076,4.2,5.5,2.8,-1.7,-2.6,366
Wausau,WI,48140,4469,4486,4828,5106,5413,5584,5771,5899,5605,5711,5799,5864,6033,-5,1.9,1.5,1.1,2.9,100
Weirton-Steubenville,WV-OH,44600,2961,3139,3115,3257,3506,3435,3630,3764,3487,3362,3280,3470,3421,-7.4,-3.6,-2.4,5.8,-1.4,352
Wenatchee,WA,48300,2439,2648,2862,3053,3172,3374,3486,3658,3645,3498,3462,3578,3799,-0.4,-4,-1,3.3,6.2,21
Wheeling,WV-OH,48540,3586,3743,3941,4204,4511,4773,4941,5480,5587,5645,5634,5654,6161,1.9,1.1,-0.2,0.4,9,4
Wichita,KS,48620,4082,4231,4540,4763,5069,5506,5803,29090,26548,27399,28353,28967,29174,-8.7,3.2,3.5,2.2,0.7,238
Wichita Falls,TX,48660,21119,21198,21450,21835,23133,26364,28894,5978,5556,5484,5558,5956,6265,-7,-1.3,1.3,7.2,5.2,30
Williamsport,PA,48700,3087,3083,3145,3319,3440,3560,3621,3707,3650,3852,4200,4450,4617,-1.6,5.5,9,6,3.7,65
Wilmington,NC,48900,7133,7142,7409,7859,8704,9306,10049,10775,10763,10969,11230,11178,11501,-0.1,1.9,2.4,-0.5,2.9,99
Winchester,VA-WV,49020,3460,3529,3786,4043,4434,4689,4648,4775,4808,5119,5177,5227,5182,0.7,6.5,1.1,1,-0.9,334
Winston-Salem,NC,49180,21237,20960,22168,23191,24061,24930,24630,25629,24732,25604,25260,25151,25382,-3.5,3.5,-1.3,-0.4,0.9,224
Worcester,MA-CT,49340,26604,27058,28576,29381,30331,31640,32556,34098,32646,33749,33963,34148,35022,-4.3,3.4,0.6,0.5,2.6,114
Yakima,WA,49420,5074,5312,5671,6026,6373,6604,7051,7340,7296,7334,7212,7416,7760,-0.6,0.5,-1.7,2.8,4.6,37
York-Hanover,PA,49620,10904,11046,11889,12646,13875,14430,15025,16366,15735,16149,15926,15692,15827,-3.9,2.6,-1.4,-1.5,0.9,228
Youngstown-Warren-Boardman,OH-PA,49660,15241,15837,16152,17045,17833,18459,18441,17761,16158,16804,17931,18053,17590,-9,4,6.7,0.7,-2.6,365
Yuba City,CA,49700,3146,3453,3808,4071,4244,4503,4607,4726,4835,4659,4648,4727,4782,2.3,-3.6,-0.2,1.7,1.2,208
Yuma,AZ,49740,3108,3506,3679,4228,4489,4850,5315,5180,5271,5204,5093,5030,4976,1.7,-1.3,-2.1,-1.3,-1.1,340
