City,State,CBSA code,2001,2002,2003,2004,2005,2006,2007,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
California-Lexington Park,MD,30500,3084,3374,3715,3943,4091,4423,4653,4846,5063,5353,5559,5534,5421,4.5,5.7,3.9,-0.5,-2,360
Canton-Massillon,OH,15940,11441,11702,11936,12414,13038,13058,13142,13651,12736,13128,13637,14111,14641,-6.7,3.1,3.9,3.5,3.8,64
Cape Coral-Fort Myers,FL,15980,14544,15439,16344,18307,21000,22458,22571,21549,19748,19427,19083,19507,20162,-8.4,-1.6,-1.8,2.2,3.4,76
Cape Girardeau,MO-IL,16020,2511,2605,2719,2808,2959,3143,3322,3455,3530,3477,3421,3469,3482,2.2,-1.5,-1.6,1.4,0.4,266
Carbondale-Marion,IL,16060,2790,2951,3084,3256,3470,3704,3778,4037,4137,4225,4195,4299,4290,2.5,2.1,-0.7,2.5,-0.2,306
Carson City,NV,16180,2127,2213,2399,2617,2820,2954,3078,3011,2774,2823,2745,2667,2673,-7.9,1.8,-2.8,-2.8,0.2,274
Casper,WY,16220,2935,3081,3463,4121,5304,6283,6472,6887,5778,5748,6071,6070,6501,-16.1,-0.5,5.6,0,7.1,11
Cedar Rapids,IA,16300,9797,9664,10569,11359,12221,12107,13484,13348,15339,15833,15971,16187,16381,14.9,3.2,0.9,1.4,1.2,206
Chambersburg-Waynesboro,PA,16540,2764,2842,3082,3433,3713,3963,4213,4387,4140,4171,4175,4193,4287,-5.6,0.8,0.1,0.4,2.3,140
Champaign-Urbana,IL,16580,6418,6767,7027,7341,7562,8061,8373,9107,9232,9359,9155,9253,9402,1.4,1.4,-2.2,1.1,1.6,181
Charleston,WV,16620,9251,9476,9577,10028,10717,11467,11991,12964,12787,12978,13356,12863,13107,-1.4,1.5,2.9,-3.7,1.9,163
Charleston-North Charleston,SC,16700,17503,18643,19967,21331,23260,24710,26604,28028,27641,28137,29577,30215,30667,-1.4,1.8,5.1,2.2,1.5,186
Charlotte-Concord-Gastonia,NC-SC,16740,78268,85896,89280,95915,105977,113257,115051,118539,112306,115229,120092,125714,130318,-5.3,2.6,4.2,4.7,3.7,66
Charlottesville,VA,16820,6135,6493,6899,7556,8204,8704,9045,9578,9577,9932,10284,10615,10540,0,3.7,3.5,3.2,-0.7,323
Chattanooga,TN-GA,16860,16369,16941,17370,18235,19148,20414,21231,21660,20265,20653,20746,21126,20945,-6.4,1.9,0.5,1.8,-0.9,333
Cheyenne,WY,16940,2745,2913,3200,3458,3784,4282,4656,5003,4579,4672,4793,4826,4954,-8.5,2,2.6,0.7,2.7,108
